"parameter","sensor_mfg","sensor_model","date_began","date_ended"
"DO","Zebra Tech","D-Opto","2016","2018"
"DO","PME","miniDOT","2018","2018"
"DO","YSI","EXO2 sonde sensor","2019","present"
"CO2","Turner Designs","C-sense","2017","present"
"pH","YSI","EXO2 sonde sensor","2019","present"
"fDOM","YSI","EXO2 sonde sensor","2019","present"
"Turbidity","YSI","EXO2 sonde sensor","2019","present"
"Chlor/Phyco","Turner Designs","Cyclops","2006","2019"
"Chlor/Phyco","YSI","EXO2 sonde sensor","2019","present"
"Conductivity","YSI",,"2006","2006"
"Conductivity","YSI","EXO2 sonde sensor","2019","present"
"Water Temp","Apprise Tech","TempLine","2006","2006"
"Water Temp","RBR","Concerto","2007","present"
"Temp/RH","RM Young","41382","2006","2017"
"Temp/RH","Vaisala","HMP110","2017","present"
"Wind","Vaisala","ultrasonic","2006","2012"
"Wind","RM Young","5106","2013","present"
"IR Skin Temp","Apogee","SI-111","2013","present"
"PAR-above","Apogee","SQ-110","2016","present"
"PAR-below","Apogee","SQ-111","2016","present"
