Year,Spring,Clearwater,"Early
Summer","Late
Summer",Fall,Ice-on
2000,2000-03-07,2000-04-12,2000-06-01,2000-07-21,2000-10-07,2000-12-13
2001,2001-04-07,2001-04-30,2001-06-23,2001-07-15,2001-09-26,2002-01-02
2002,2002-03-15,2002-04-24,2002-06-25,2002-07-22,2002-10-10,2003-01-04
2003,2003-04-03,2003-04-21,2003-06-17,2003-07-24,2003-10-07,2004-01-07
2004,2004-03-27,2004-04-20,2004-06-24,2004-07-21,2004-10-06,2004-12-25
2005,2005-04-05,2005-04-20,2005-06-22,2005-07-17,2005-10-21,2005-12-19
2006,2006-03-24,2006-03-24,2006-06-18,2006-07-21,2006-10-09,2007-01-20
2007,2007-03-27,2007-05-07,2007-06-06,2007-07-20,2007-10-28,2007-12-26
2008,2008-04-10,2008-04-21,2008-06-17,2008-07-22,2008-10-13,2008-12-16
2009,2009-03-23,2009-05-02,2009-06-25,2009-08-10,2009-10-03,2009-12-29
2010,2010-03-26,2010-05-14,2010-06-05,2010-07-05,2010-10-09,2010-12-15
2011,2011-04-03,2011-05-24,2011-06-21,2011-07-19,2011-10-11,2012-01-14
2012,2012-03-11,2012-04-10,2012-06-10,2012-07-03,2012-10-03,2013-01-14
2013,2013-04-11,2013-05-19,2013-06-18,2013-07-10,2013-10-22,2013-12-16
2014,2014-04-12,2014-05-29,2014-06-14,2014-07-14,2014-10-12,2015-01-02
2015,2015-04-03,2015-05-26,2015-06-10,2015-07-04,2015-10-14,2016-01-11
2016,2016-03-13,2016-05-03,2016-05-30,2016-07-04,2016-10-26,2017-01-01
2017,2017-03-07,2017-05-19,2017-06-13,2017-07-08,2017-10-21,2017-12-27
2018,2018-03-31,2018-05-19,2018-06-02,2018-07-04,2018-10-14,2018-12-15
2019,2019-03-31,2019-05-20,2019-07-03,2019-07-17,2019-10-10,2020-01-12
